Scam_ID,Target_Industry,Attack_Method,Deepfake_Type,Loss_Amount_USD,Detection_Time_Hours,Detection_Tool,Geographic_Origin,Payload_Type,Employee_Role_Targeted,Prevention_Measures,Legal_Action_Taken
SC-1039,Tech,CEO Fraud,Image,352552,7.8,Internal Audit,Nigeria,Urgent Wire Request,IT Admin,None,Lawsuit Pending
SC-1040,Healthcare,Voice Cloning,Video,444860,12.7,Victim Report,Russia,Fake Credentials,CFO,AI Monitoring,No
SC-1041,Tech,Fake Video Call,Hybrid,489371,3.9,Internal Audit,North Korea,Phishing Link,Customer Support,AI Monitoring,Lawsuit Pending
SC-1042,Banking,Fake Video Call,Audio,364276,12.7,Human Review,China,Urgent Wire Request,CFO,None,No
SC-1043,Banking,Synthetic ID,Image,300690,23.5,AI Scanner,China,Urgent Wire Request,Customer Support,None,No
SC-1044,Banking,CEO Fraud,Audio,206436,5.5,Internal Audit,China,Fake Credentials,HR,AI Monitoring,Yes (Arrest)
SC-1045,Tech,CEO Fraud,Video,259178,10.9,Internal Audit,North Korea,Phishing Link,CFO,None,Yes (Arrest)
SC-1046,Tech,CEO Fraud,Image,89746,10.9,Victim Report,North Korea,Phishing Link,IT Admin,2FA,Yes (Arrest)
SC-1047,Retail,Fake Video Call,Video,154759,10.4,Human Review,North Korea,Fake Invoice,HR,2FA,Lawsuit Pending
SC-1048,Government,Synthetic ID,Audio,55634,10.3,Internal Audit,Iran,Fake Credentials,HR,AI Monitoring,No
SC-1049,Government,Fake Video Call,Hybrid,466903,10.8,Human Review,Iran,Fake Credentials,Customer Support,None,No
SC-1050,Government,CEO Fraud,Video,465703,10.9,Internal Audit,Nigeria,Phishing Link,IT Admin,Training,Yes (Arrest)
SC-1051,Retail,Voice Cloning,Image,110158,13.7,Victim Report,North Korea,Urgent Wire Request,CFO,2FA,No
SC-1052,Healthcare,Fake Video Call,Audio,451947,5.6,Human Review,Iran,Fake Credentials,CFO,2FA,No
SC-1053,Banking,Fake Video Call,Hybrid,155766,13.4,Human Review,North Korea,Fake Invoice,Customer Support,AI Monitoring,Yes (Arrest)
SC-1054,Banking,Synthetic ID,Video,398241,11.1,Internal Audit,Nigeria,Fake Invoice,IT Admin,AI Monitoring,Lawsuit Pending
SC-1055,Banking,Synthetic ID,Hybrid,397618,3.6,Internal Audit,Russia,Fake Invoice,CFO,2FA,No
SC-1056,Banking,Voice Cloning,Audio,253078,1.4,Human Review,Nigeria,Fake Invoice,CFO,AI Monitoring,Lawsuit Pending
SC-1057,Retail,Synthetic ID,Video,126706,6.8,Internal Audit,China,Phishing Link,CFO,2FA,Yes (Arrest)
SC-1058,Banking,Voice Cloning,Audio,207355,11.0,Internal Audit,Iran,Urgent Wire Request,Customer Support,None,Yes (Arrest)
SC-1059,Healthcare,Synthetic ID,Image,35798,5.2,AI Scanner,North Korea,Fake Credentials,IT Admin,Training,No
SC-1060,Tech,CEO Fraud,Image,33818,18.1,Victim Report,Iran,Fake Credentials,Customer Support,AI Monitoring,Yes (Arrest)
SC-1061,Healthcare,CEO Fraud,Audio,396069,21.9,Human Review,Russia,Phishing Link,IT Admin,None,Lawsuit Pending
SC-1062,Tech,Fake Video Call,Hybrid,141950,12.9,AI Scanner,Russia,Fake Invoice,HR,Training,No
SC-1063,Retail,Fake Video Call,Audio,33404,11.1,Victim Report,North Korea,Phishing Link,HR,Training,No
SC-1064,Tech,Voice Cloning,Audio,68397,9.7,Victim Report,Nigeria,Fake Credentials,CFO,Training,Yes (Arrest)
SC-1065,Government,CEO Fraud,Hybrid,118194,8.5,Internal Audit,China,Urgent Wire Request,CFO,Training,No
SC-1066,Banking,Synthetic ID,Video,281695,8.7,AI Scanner,China,Fake Invoice,CFO,Training,Yes (Arrest)
SC-1067,Tech,Voice Cloning,Hybrid,190544,11.7,Human Review,North Korea,Urgent Wire Request,Customer Support,2FA,Yes (Arrest)
SC-1068,Tech,Synthetic ID,Hybrid,409179,14.5,Internal Audit,Russia,Urgent Wire Request,IT Admin,AI Monitoring,Lawsuit Pending
SC-1069,Banking,CEO Fraud,Hybrid,59931,8.8,Victim Report,Russia,Urgent Wire Request,Customer Support,Training,Yes (Arrest)
SC-1070,Tech,CEO Fraud,Video,370797,9.0,Victim Report,Nigeria,Fake Invoice,CFO,AI Monitoring,Yes (Arrest)
SC-1071,Government,Voice Cloning,Hybrid,174574,6.8,Human Review,Nigeria,Phishing Link,HR,Training,No
SC-1072,Banking,Voice Cloning,Video,297682,21.2,AI Scanner,Iran,Fake Invoice,HR,AI Monitoring,Lawsuit Pending
SC-1073,Healthcare,CEO Fraud,Audio,326646,21.2,Human Review,Nigeria,Phishing Link,CFO,None,Yes (Arrest)
SC-1074,Retail,Fake Video Call,Video,159026,4.1,Human Review,China,Urgent Wire Request,Customer Support,AI Monitoring,Yes (Arrest)
SC-1075,Tech,Synthetic ID,Image,194486,2.0,Internal Audit,Russia,Fake Invoice,HR,AI Monitoring,Yes (Arrest)
SC-1076,Government,Voice Cloning,Video,487089,1.4,Victim Report,Iran,Urgent Wire Request,IT Admin,None,Lawsuit Pending
SC-1077,Healthcare,Voice Cloning,Video,248158,19.8,Human Review,Nigeria,Urgent Wire Request,CFO,Training,No
SC-1078,Tech,CEO Fraud,Video,390102,3.3,Victim Report,Nigeria,Phishing Link,HR,None,Yes (Arrest)
SC-1079,Banking,CEO Fraud,Video,362667,8.0,Human Review,China,Urgent Wire Request,IT Admin,None,Lawsuit Pending
SC-1080,Tech,CEO Fraud,Video,69112,21.6,Victim Report,North Korea,Phishing Link,HR,AI Monitoring,Yes (Arrest)
SC-1081,Banking,CEO Fraud,Audio,47572,15.0,Victim Report,Russia,Phishing Link,CFO,AI Monitoring,No
SC-1082,Retail,Fake Video Call,Video,236240,15.8,AI Scanner,Iran,Phishing Link,HR,AI Monitoring,Lawsuit Pending
SC-1083,Government,Voice Cloning,Audio,96238,18.3,Human Review,Russia,Phishing Link,IT Admin,AI Monitoring,No
SC-1084,Banking,Synthetic ID,Audio,111050,10.3,Internal Audit,Nigeria,Fake Credentials,IT Admin,2FA,Lawsuit Pending
SC-1085,Healthcare,Synthetic ID,Hybrid,73518,10.4,Internal Audit,Russia,Fake Invoice,CFO,AI Monitoring,Lawsuit Pending
SC-1086,Retail,Voice Cloning,Hybrid,346749,22.1,AI Scanner,North Korea,Fake Invoice,Customer Support,Training,No
SC-1087,Banking,Fake Video Call,Video,385038,14.0,Human Review,North Korea,Urgent Wire Request,Customer Support,AI Monitoring,No
SC-1088,Government,Synthetic ID,Hybrid,389107,5.8,Victim Report,North Korea,Fake Invoice,CFO,2FA,Yes (Arrest)
SC-1089,Banking,CEO Fraud,Hybrid,215034,2.1,Victim Report,Nigeria,Phishing Link,HR,None,Yes (Arrest)
SC-1090,Retail,Fake Video Call,Hybrid,144482,1.3,AI Scanner,North Korea,Fake Invoice,HR,None,No
SC-1091,Government,Voice Cloning,Hybrid,161425,14.9,Victim Report,North Korea,Urgent Wire Request,CFO,Training,Yes (Arrest)
SC-1092,Retail,Synthetic ID,Hybrid,17281,9.7,AI Scanner,Nigeria,Fake Credentials,IT Admin,AI Monitoring,Lawsuit Pending
SC-1093,Retail,Synthetic ID,Image,198648,22.5,Internal Audit,Iran,Urgent Wire Request,HR,Training,No
SC-1094,Tech,CEO Fraud,Audio,167936,7.6,Internal Audit,Russia,Fake Credentials,IT Admin,Training,No
SC-1095,Retail,CEO Fraud,Image,413020,22.5,Victim Report,Iran,Fake Invoice,Customer Support,2FA,Lawsuit Pending
SC-1096,Banking,Synthetic ID,Hybrid,128248,5.6,Victim Report,Iran,Urgent Wire Request,Customer Support,2FA,Yes (Arrest)
SC-1097,Retail,Fake Video Call,Video,41856,17.7,Human Review,Nigeria,Fake Invoice,CFO,None,Yes (Arrest)
SC-1098,Healthcare,Voice Cloning,Audio,329118,23.8,Victim Report,Russia,Fake Credentials,IT Admin,Training,Lawsuit Pending
SC-1099,Government,Fake Video Call,Image,397631,13.0,Victim Report,Russia,Phishing Link,Customer Support,None,No
SC-1100,Government,Voice Cloning,Audio,159719,14.0,AI Scanner,Russia,Urgent Wire Request,CFO,AI Monitoring,Yes (Arrest)
SC-1101,Retail,Synthetic ID,Video,131495,7.9,AI Scanner,North Korea,Fake Invoice,Customer Support,Training,Lawsuit Pending
SC-1102,Retail,CEO Fraud,Video,164112,0.4,Human Review,North Korea,Urgent Wire Request,IT Admin,2FA,No
SC-1103,Tech,CEO Fraud,Image,466702,7.9,AI Scanner,Russia,Phishing Link,Customer Support,2FA,Lawsuit Pending
SC-1104,Retail,CEO Fraud,Video,15710,2.8,Victim Report,Iran,Fake Invoice,HR,None,Yes (Arrest)
SC-1105,Tech,CEO Fraud,Image,201015,16.3,AI Scanner,China,Fake Invoice,IT Admin,2FA,No
SC-1106,Healthcare,Fake Video Call,Hybrid,178725,13.4,AI Scanner,Iran,Fake Credentials,HR,AI Monitoring,No
SC-1107,Banking,CEO Fraud,Hybrid,263446,9.3,Victim Report,Russia,Fake Invoice,CFO,AI Monitoring,Lawsuit Pending
SC-1108,Banking,Synthetic ID,Audio,460572,15.9,AI Scanner,Iran,Fake Credentials,HR,None,No
SC-1109,Tech,Voice Cloning,Audio,245128,15.8,Victim Report,Russia,Phishing Link,IT Admin,2FA,No
SC-1110,Banking,CEO Fraud,Video,149782,11.8,Internal Audit,North Korea,Phishing Link,CFO,None,Lawsuit Pending
SC-1111,Tech,Synthetic ID,Hybrid,256094,12.6,Human Review,Russia,Urgent Wire Request,Customer Support,AI Monitoring,Lawsuit Pending
SC-1112,Healthcare,Synthetic ID,Audio,90863,18.7,Victim Report,Iran,Phishing Link,IT Admin,AI Monitoring,Yes (Arrest)
SC-1113,Banking,Fake Video Call,Audio,84170,17.4,Internal Audit,Iran,Fake Credentials,IT Admin,2FA,Yes (Arrest)
SC-1114,Healthcare,Fake Video Call,Video,89571,3.2,Human Review,North Korea,Urgent Wire Request,HR,2FA,No
SC-1115,Healthcare,Voice Cloning,Hybrid,365874,21.0,Internal Audit,China,Fake Credentials,Customer Support,AI Monitoring,No
SC-1116,Government,Synthetic ID,Image,134774,9.0,Victim Report,North Korea,Fake Credentials,CFO,Training,Lawsuit Pending
SC-1117,Government,Synthetic ID,Audio,467230,8.6,Internal Audit,China,Phishing Link,Customer Support,None,Lawsuit Pending
SC-1118,Healthcare,CEO Fraud,Audio,58475,23.0,Human Review,Nigeria,Fake Invoice,CFO,AI Monitoring,Lawsuit Pending
SC-1119,Government,CEO Fraud,Video,482337,6.9,AI Scanner,North Korea,Urgent Wire Request,Customer Support,2FA,No
SC-1120,Tech,Fake Video Call,Hybrid,401546,7.1,Human Review,China,Fake Credentials,CFO,None,No
SC-1121,Tech,Fake Video Call,Audio,155761,18.2,Human Review,China,Phishing Link,HR,AI Monitoring,Yes (Arrest)
SC-1122,Banking,Fake Video Call,Audio,379266,0.7,Human Review,North Korea,Urgent Wire Request,IT Admin,2FA,Yes (Arrest)
SC-1123,Banking,CEO Fraud,Hybrid,115971,18.1,Internal Audit,Nigeria,Fake Credentials,CFO,Training,No
SC-1124,Healthcare,Fake Video Call,Hybrid,363169,11.0,Victim Report,Russia,Urgent Wire Request,Customer Support,Training,Yes (Arrest)
SC-1125,Healthcare,Synthetic ID,Image,88137,16.8,Internal Audit,Russia,Urgent Wire Request,CFO,2FA,Lawsuit Pending
SC-1126,Government,Fake Video Call,Hybrid,313886,12.4,Victim Report,Russia,Phishing Link,Customer Support,2FA,Lawsuit Pending
SC-1127,Banking,Voice Cloning,Image,342458,8.4,AI Scanner,North Korea,Fake Credentials,Customer Support,None,Lawsuit Pending
SC-1128,Tech,CEO Fraud,Image,92376,20.7,Human Review,Russia,Phishing Link,IT Admin,AI Monitoring,Lawsuit Pending
SC-1129,Tech,CEO Fraud,Image,366835,18.7,AI Scanner,Russia,Fake Credentials,HR,AI Monitoring,No
SC-1130,Banking,Voice Cloning,Video,366680,21.8,Victim Report,North Korea,Phishing Link,CFO,None,Lawsuit Pending
SC-1131,Banking,CEO Fraud,Video,468518,1.8,Internal Audit,Russia,Fake Credentials,CFO,None,No
SC-1132,Healthcare,CEO Fraud,Image,417640,21.7,AI Scanner,Iran,Fake Credentials,CFO,Training,No
SC-1133,Retail,Voice Cloning,Image,301664,9.0,AI Scanner,North Korea,Urgent Wire Request,HR,2FA,No
SC-1134,Tech,CEO Fraud,Hybrid,381049,7.0,AI Scanner,North Korea,Fake Invoice,Customer Support,None,No
SC-1135,Banking,Voice Cloning,Audio,392320,12.1,Human Review,China,Fake Invoice,Customer Support,Training,Lawsuit Pending
SC-1136,Retail,Synthetic ID,Hybrid,479126,5.0,AI Scanner,Nigeria,Fake Invoice,Customer Support,2FA,Lawsuit Pending
SC-1137,Banking,Voice Cloning,Video,479877,22.2,Internal Audit,North Korea,Fake Credentials,IT Admin,AI Monitoring,Yes (Arrest)
SC-1138,Banking,Fake Video Call,Hybrid,292715,4.2,Human Review,China,Phishing Link,HR,None,Yes (Arrest)
SC-1139,Government,Fake Video Call,Image,350941,22.3,AI Scanner,Russia,Urgent Wire Request,CFO,AI Monitoring,Lawsuit Pending
SC-1140,Tech,Synthetic ID,Audio,95728,8.7,Victim Report,North Korea,Fake Credentials,CFO,None,No
SC-1141,Retail,Fake Video Call,Audio,344546,16.8,Victim Report,North Korea,Phishing Link,CFO,None,Lawsuit Pending
SC-1142,Government,Fake Video Call,Image,180892,16.9,Internal Audit,North Korea,Fake Credentials,Customer Support,AI Monitoring,Yes (Arrest)
SC-1143,Banking,CEO Fraud,Hybrid,399362,10.5,AI Scanner,Nigeria,Urgent Wire Request,HR,Training,Yes (Arrest)
SC-1144,Tech,CEO Fraud,Audio,213249,23.3,Internal Audit,North Korea,Fake Invoice,HR,None,No
SC-1145,Retail,CEO Fraud,Audio,428006,4.8,Human Review,Russia,Fake Invoice,CFO,Training,Lawsuit Pending
SC-1146,Retail,CEO Fraud,Audio,33972,17.8,Internal Audit,Iran,Phishing Link,HR,2FA,No
SC-1147,Healthcare,Voice Cloning,Audio,195007,6.9,Human Review,Nigeria,Fake Credentials,HR,AI Monitoring,Yes (Arrest)
SC-1148,Government,Fake Video Call,Audio,460624,21.0,Internal Audit,North Korea,Fake Credentials,IT Admin,None,Yes (Arrest)
SC-1149,Government,Synthetic ID,Audio,265476,1.6,Victim Report,Russia,Fake Invoice,HR,None,No
SC-1150,Banking,Fake Video Call,Image,231671,14.5,Internal Audit,North Korea,Phishing Link,HR,Training,No
SC-1151,Tech,CEO Fraud,Audio,227294,8.8,Human Review,Iran,Fake Credentials,HR,Training,No
SC-1152,Healthcare,CEO Fraud,Audio,141962,16.7,AI Scanner,Iran,Fake Invoice,Customer Support,Training,No
SC-1153,Tech,Fake Video Call,Hybrid,422288,24.0,AI Scanner,Nigeria,Fake Credentials,HR,AI Monitoring,Lawsuit Pending
SC-1154,Retail,Synthetic ID,Hybrid,63205,3.8,AI Scanner,North Korea,Fake Credentials,IT Admin,None,No
SC-1155,Retail,Synthetic ID,Hybrid,314039,5.7,Victim Report,Russia,Fake Credentials,Customer Support,Training,No
SC-1156,Retail,CEO Fraud,Hybrid,15565,22.1,Victim Report,Iran,Urgent Wire Request,IT Admin,2FA,Lawsuit Pending
SC-1157,Healthcare,Synthetic ID,Video,353091,23.0,Victim Report,Iran,Urgent Wire Request,CFO,None,Lawsuit Pending
SC-1158,Retail,CEO Fraud,Hybrid,85483,13.9,Human Review,Iran,Fake Invoice,HR,2FA,Yes (Arrest)
SC-1159,Tech,Synthetic ID,Audio,119255,5.8,Victim Report,China,Urgent Wire Request,CFO,AI Monitoring,Yes (Arrest)
SC-1160,Retail,CEO Fraud,Image,366921,10.0,Human Review,China,Fake Credentials,IT Admin,None,Yes (Arrest)
SC-1161,Retail,CEO Fraud,Hybrid,440462,12.0,Human Review,Russia,Fake Credentials,CFO,Training,Yes (Arrest)
SC-1162,Banking,CEO Fraud,Video,261871,11.2,Victim Report,China,Phishing Link,HR,2FA,Lawsuit Pending
SC-1163,Retail,Synthetic ID,Audio,50451,2.3,Internal Audit,North Korea,Fake Credentials,CFO,Training,No
SC-1164,Government,Voice Cloning,Hybrid,324663,5.6,Internal Audit,North Korea,Urgent Wire Request,IT Admin,None,No
SC-1165,Government,Voice Cloning,Video,451943,19.7,Victim Report,Russia,Phishing Link,CFO,2FA,No
SC-1166,Healthcare,CEO Fraud,Audio,47206,23.4,Victim Report,Russia,Fake Invoice,CFO,AI Monitoring,Yes (Arrest)
SC-1167,Banking,Synthetic ID,Audio,289661,12.3,AI Scanner,North Korea,Phishing Link,Customer Support,Training,Lawsuit Pending
SC-1168,Banking,CEO Fraud,Audio,111825,16.0,Victim Report,China,Urgent Wire Request,HR,None,No
SC-1169,Healthcare,Synthetic ID,Image,85868,5.3,Victim Report,Iran,Fake Credentials,HR,AI Monitoring,No
SC-1170,Healthcare,Voice Cloning,Image,281097,23.3,Human Review,Iran,Fake Invoice,HR,Training,No
SC-1171,Healthcare,CEO Fraud,Image,477979,10.5,Internal Audit,Nigeria,Phishing Link,CFO,AI Monitoring,No
SC-1172,Healthcare,CEO Fraud,Image,48114,21.5,Internal Audit,Iran,Fake Credentials,HR,2FA,Yes (Arrest)
SC-1173,Retail,Voice Cloning,Image,158802,6.1,AI Scanner,Iran,Phishing Link,CFO,AI Monitoring,No
SC-1174,Tech,Voice Cloning,Hybrid,341722,9.8,Internal Audit,North Korea,Fake Credentials,CFO,2FA,Lawsuit Pending
SC-1175,Tech,Fake Video Call,Video,328558,4.8,AI Scanner,China,Fake Credentials,HR,None,Yes (Arrest)
SC-1176,Government,CEO Fraud,Hybrid,259656,10.8,Victim Report,Russia,Fake Invoice,IT Admin,AI Monitoring,Yes (Arrest)
SC-1177,Retail,Fake Video Call,Audio,87370,6.1,Internal Audit,Iran,Phishing Link,CFO,2FA,Lawsuit Pending
SC-1178,Retail,Voice Cloning,Hybrid,158390,9.8,Human Review,Iran,Fake Credentials,CFO,None,Yes (Arrest)
SC-1179,Banking,Synthetic ID,Video,324832,10.6,AI Scanner,Iran,Phishing Link,Customer Support,2FA,Yes (Arrest)
SC-1180,Healthcare,Voice Cloning,Audio,78793,8.7,AI Scanner,Russia,Fake Credentials,IT Admin,Training,Lawsuit Pending
SC-1181,Government,Voice Cloning,Image,345779,17.9,Internal Audit,Iran,Phishing Link,HR,Training,Yes (Arrest)
SC-1182,Tech,Fake Video Call,Video,299326,23.2,Internal Audit,China,Fake Invoice,IT Admin,Training,No
SC-1183,Banking,Fake Video Call,Audio,438034,19.6,Victim Report,Russia,Fake Invoice,CFO,Training,Lawsuit Pending
SC-1184,Retail,CEO Fraud,Image,51660,3.5,Human Review,China,Fake Invoice,HR,None,No
SC-1185,Healthcare,CEO Fraud,Audio,205160,16.8,Human Review,China,Urgent Wire Request,Customer Support,2FA,No
SC-1186,Tech,Voice Cloning,Audio,481108,5.4,Internal Audit,North Korea,Fake Invoice,HR,None,No
SC-1187,Retail,Synthetic ID,Image,284057,7.5,AI Scanner,Russia,Phishing Link,Customer Support,2FA,Yes (Arrest)
SC-1188,Tech,CEO Fraud,Hybrid,39269,21.5,Human Review,Nigeria,Urgent Wire Request,CFO,2FA,No
SC-1189,Tech,Fake Video Call,Hybrid,23251,4.2,Victim Report,North Korea,Fake Invoice,Customer Support,AI Monitoring,No
SC-1190,Tech,Voice Cloning,Audio,386066,14.1,Internal Audit,Iran,Urgent Wire Request,Customer Support,Training,No
SC-1191,Healthcare,Fake Video Call,Image,155317,16.1,Victim Report,Nigeria,Phishing Link,CFO,AI Monitoring,No
SC-1192,Banking,Synthetic ID,Hybrid,33873,5.9,Human Review,Nigeria,Fake Credentials,HR,2FA,Yes (Arrest)
SC-1193,Tech,CEO Fraud,Audio,480740,8.9,Human Review,Iran,Fake Invoice,CFO,AI Monitoring,No
SC-1194,Retail,Fake Video Call,Image,107377,10.5,Human Review,North Korea,Fake Invoice,CFO,AI Monitoring,Yes (Arrest)
SC-1195,Banking,Fake Video Call,Hybrid,213586,9.8,Victim Report,Iran,Urgent Wire Request,CFO,AI Monitoring,Yes (Arrest)
SC-1196,Healthcare,Voice Cloning,Hybrid,190089,2.7,AI Scanner,Russia,Fake Invoice,HR,AI Monitoring,Lawsuit Pending
SC-1197,Tech,Synthetic ID,Video,343818,1.3,Victim Report,North Korea,Fake Credentials,HR,None,Yes (Arrest)
SC-1198,Healthcare,CEO Fraud,Image,479074,19.0,Human Review,China,Fake Credentials,Customer Support,None,No
SC-1199,Retail,Voice Cloning,Video,236488,8.1,Human Review,Nigeria,Fake Credentials,HR,Training,Yes (Arrest)
SC-1200,Government,Fake Video Call,Image,372099,1.2,Victim Report,Nigeria,Fake Credentials,HR,Training,Yes (Arrest)
SC-1201,Government,CEO Fraud,Video,244258,21.5,Internal Audit,North Korea,Fake Invoice,IT Admin,2FA,Lawsuit Pending
SC-1202,Retail,Voice Cloning,Image,413133,4.2,Human Review,China,Phishing Link,CFO,Training,Lawsuit Pending
SC-1203,Healthcare,CEO Fraud,Audio,355569,3.1,Victim Report,North Korea,Phishing Link,IT Admin,AI Monitoring,Yes (Arrest)
SC-1204,Banking,Voice Cloning,Audio,328390,8.2,Internal Audit,North Korea,Fake Invoice,CFO,Training,No
SC-1205,Banking,Fake Video Call,Audio,134350,3.3,Victim Report,Iran,Urgent Wire Request,IT Admin,Training,Yes (Arrest)
SC-1206,Government,Voice Cloning,Hybrid,217970,6.4,Internal Audit,China,Urgent Wire Request,HR,Training,No
SC-1207,Tech,CEO Fraud,Hybrid,22708,3.6,Human Review,Russia,Fake Credentials,HR,None,Lawsuit Pending
SC-1208,Banking,Voice Cloning,Hybrid,391972,11.9,Victim Report,Russia,Fake Invoice,HR,AI Monitoring,No
SC-1209,Government,Voice Cloning,Video,78733,6.6,Human Review,China,Urgent Wire Request,CFO,AI Monitoring,Yes (Arrest)
SC-1210,Government,Fake Video Call,Audio,198060,15.0,Internal Audit,Iran,Urgent Wire Request,Customer Support,2FA,Yes (Arrest)
SC-1211,Government,Fake Video Call,Video,331441,15.9,Human Review,Iran,Urgent Wire Request,HR,AI Monitoring,No
SC-1212,Government,Fake Video Call,Video,251058,21.7,Human Review,Iran,Phishing Link,Customer Support,AI Monitoring,No
SC-1213,Tech,Synthetic ID,Video,447251,5.0,AI Scanner,China,Urgent Wire Request,Customer Support,None,Lawsuit Pending
SC-1214,Retail,CEO Fraud,Audio,490712,9.1,AI Scanner,North Korea,Fake Credentials,CFO,None,Yes (Arrest)
SC-1215,Banking,Synthetic ID,Image,9152,17.4,Internal Audit,Nigeria,Urgent Wire Request,Customer Support,AI Monitoring,Yes (Arrest)
